Benchmark,Batch size,RAPIDS(Total),TB(4060),TB(AT),Speedup(4060),Speedup(AT),RAPIDS(kernel),TBKernel(4060),TBKernel(AT),Speedup(4060)2,Speedup(AT)2,Tahoe(kernel),Speedup(4060)3,Speedup(AT)
epsilon,8192,2.18E-06,1.98E-06,1.88E-06,1.10E+00,1.157148518,3.94E-07,3.91E-07,3.22E-07,1.01E+00,1.221420329,3.28E-07,8.41E-01,1.02E+00
higgs,8192,2.29E-07,6.90E-08,6.98E-08,3.31E+00,3.278948587,1.84E-07,4.49E-08,4.50E-08,4.10E+00,4.095874995,1.56E-07,3.48E+00,3.47E+00
letters,8192,3.21E-05,2.80E-05,1.53E-05,1.14E+00,2.092311401,3.40E-05,2.79E-05,1.53E-05,1.22E+00,2.226554526,3.49E-05,1.25E+00,2.28E+00
year_prediction_msd,8192,2.73E-07,1.09E-07,1.02E-07,2.50E+00,2.671518354,1.84E-07,4.43E-08,4.11E-08,4.15E+00,4.47738548,3.22E-07,7.27E+00,7.84E+00
abalone,16384,6.74E-07,4.17E-07,4.10E-07,1.617828462,1.641957888,6.55E-07,3.89E-07,3.83E-07,1.682610777,1.710900563,4.89E-07,1.26E+00,1.28E+00
airline,16384,1.83E-07,5.91E-08,5.69E-08,3.096525593,3.212644611,1.69E-07,3.62E-08,3.66E-08,4.657502924,4.606673425,1.12E-07,3.08E+00,3.05E+00
airline-ohe,16384,1.47E-06,1.12E-06,1.13E-06,1.311060714,1.299653499,8.72E-07,5.93E-07,5.87E-07,1.471903085,1.486126788,1.30E-06,2.20E+00,2.22E+00
covtype,16384,1.09E-06,4.24E-07,4.08E-07,2.564179248,2.670123964,1.02E-06,3.67E-07,3.51E-07,2.769377857,2.892750164,1.09E-06,2.98E+00,3.12E+00
epsilon,16384,2.13E-06,2.20E-06,2.20E-06,0.970005701,0.970547535,3.85E-07,3.88E-07,3.18E-07,0.992250292,1.210776116,3.29E-07,8.48E-01,1.03E+00
higgs,16384,1.99E-07,7.21E-08,7.08E-08,2.762609812,2.815218716,1.68E-07,4.34E-08,4.48E-08,3.874943023,3.755532867,1.57E-07,3.62E+00,3.51E+00
letters,16384,5.15E-05,1.60E-05,1.50E-05,3.225984877,3.438804496,5.29E-05,1.60E-05,1.50E-05,3.318542939,3.537831764,3.07E-05,1.93E+00,2.05E+00
year_prediction_msd,16384,2.60E-07,1.23E-07,1.10E-07,2.118081441,2.364794295,1.74E-07,4.82E-08,4.13E-08,3.616295322,4.220516639,3.21E-07,6.65E+00,7.76E+00
