benchmark,cur_batch_size,cmp_benchmark,degradation
airline-ohe,8192,covtype,0.700980226
airline,4096,covtype,0.698345464
year_prediction_msd,4096,covtype,0.698345464
epsilon,4096,higgs,0.678375084
epsilon,2048,airline,0.650106826
epsilon,1024,airline-ohe,0.636438265
airline,256,airline-ohe,0.632964664
epsilon,256,airline-ohe,0.632964664
letters,2048,covtype,0.631630493
abalone,1024,year_prediction_msd,0.627495228
covtype,1024,year_prediction_msd,0.627495228
epsilon,512,abalone,0.620136877
letters,2048,year_prediction_msd,0.59255041
airline-ohe,4096,covtype,0.590993701
abalone,2048,covtype,0.579762299
epsilon,1024,covtype,0.564128726
airline-ohe,2048,covtype,0.543959295
airline,512,abalone,0.529031893
higgs,512,abalone,0.529031893
airline,16384,abalone,0.526819768
airline-ohe,8192,airline,0.524674927
higgs,8192,letters,0.505409622
airline,4096,abalone,0.498244298
year_prediction_msd,4096,abalone,0.498244298
epsilon,16384,abalone,0.494310015
letters,2048,abalone,0.48590043
epsilon,4096,abalone,0.440648577
airline-ohe,8192,higgs,0.436449738
airline,16384,covtype,0.432968103
abalone,256,year_prediction_msd,0.415642597
airline-ohe,256,year_prediction_msd,0.415642597
covtype,256,year_prediction_msd,0.415642597
epsilon,2048,abalone,0.41524656
abalone,2048,letters,0.394626943
letters,256,abalone,0.393197183
higgs,256,year_prediction_msd,0.392392727
year_prediction_msd,256,abalone,0.38464926
letters,1024,airline,0.383922434
epsilon,1024,airline,0.377628036
letters,1024,covtype,0.376964074
letters,2048,airline-ohe,0.372008182
abalone,512,year_prediction_msd,0.371601816
airline-ohe,512,year_prediction_msd,0.371601816
covtype,512,year_prediction_msd,0.371601816
epsilon,1024,abalone,0.36237641
year_prediction_msd,512,airline-ohe,0.358212039
letters,512,airline-ohe,0.355481165
letters,1024,higgs,0.351805604
airline,256,year_prediction_msd,0.346127792
epsilon,256,year_prediction_msd,0.346127792
epsilon,1024,higgs,0.338437191
higgs,4096,year_prediction_msd,0.337281856
year_prediction_msd,256,covtype,0.326174645
letters,1024,airline-ohe,0.311270175
covtype,4096,abalone,0.304293588
letters,4096,abalone,0.304293588
letters,1024,abalone,0.287920448
letters,256,covtype,0.280844776
airline-ohe,1024,airline,0.277977486
airline,256,covtype,0.265397974
epsilon,256,covtype,0.265397974
letters,1024,year_prediction_msd,0.260314971
abalone,16384,higgs,0.257529515
airline-ohe,1024,higgs,0.251061727
abalone,1024,airline-ohe,0.250461865
covtype,1024,airline-ohe,0.250461865
airline-ohe,1024,covtype,0.244991538
higgs,16384,abalone,0.240366847
abalone,16384,airline,0.217906649
airline,256,abalone,0.212652172
epsilon,256,abalone,0.212652172
year_prediction_msd,16384,airline,0.209330021
airline-ohe,16384,abalone,0.204214135
higgs,8192,abalone,0.199425069
airline,512,covtype,0.198967399
higgs,512,covtype,0.198967399
letters,512,abalone,0.198678152
airline,16384,higgs,0.198271136
airline-ohe,2048,abalone,0.195982264
airline-ohe,4096,abalone,0.190499098
year_prediction_msd,2048,letters,0.180176166
year_prediction_msd,16384,higgs,0.172756223
airline-ohe,8192,abalone,0.170399323
higgs,4096,abalone,0.169599178
covtype,4096,year_prediction_msd,0.168292697
letters,4096,year_prediction_msd,0.168292697
year_prediction_msd,16384,covtype,0.16490233
higgs,8192,airline,0.154805296
epsilon,512,higgs,0.154184217
year_prediction_msd,512,abalone,0.144782579
year_prediction_msd,2048,airline,0.143487707
epsilon,512,airline,0.143011349
higgs,4096,airline,0.142802271
year_prediction_msd,8192,airline,0.131686849
abalone,2048,airline,0.12525743
abalone,8192,airline,0.123375698
airline,1024,abalone,0.123167952
higgs,1024,abalone,0.123167952
year_prediction_msd,1024,abalone,0.123167952
letters,512,airline,0.120044858
abalone,16384,year_prediction_msd,0.115247295
abalone,2048,higgs,0.115141576
year_prediction_msd,2048,higgs,0.115141576
year_prediction_msd,256,airline,0.112044147
abalone,8192,higgs,0.111891596
letters,256,airline,0.110152716
year_prediction_msd,2048,covtype,0.101119641
year_prediction_msd,512,airline,0.099123846
covtype,4096,higgs,0.098765624
letters,4096,higgs,0.098765624
airline,1024,covtype,0.097976609
higgs,1024,covtype,0.097976609
year_prediction_msd,1024,covtype,0.097976609
