benchmark,cur_batch_size,cmp_batch_size,degradation
epsilon,1024,512,0.027092524
epsilon,16384,8192,0.022506517
epsilon,2048,16384,0.018425365
epsilon,4096,16384,0.018425365
airline,512,256,0.017718893
higgs,1024,4096,0.016778175
airline-ohe,2048,8192,0.016411503
airline-ohe,4096,8192,0.016411503
airline-ohe,16384,8192,0.016411503
year_prediction_msd,1024,512,0.016237809
epsilon,2048,8192,0.013323067
epsilon,4096,8192,0.013323067
airline-ohe,8192,16384,0.011815744
airline-ohe,256,2048,0.008413591
airline-ohe,512,2048,0.008413591
airline-ohe,1024,2048,0.008413591
epsilon,2048,512,0.007576294
epsilon,4096,512,0.007576294
letters,4096,1024,0.006586263
letters,8192,1024,0.006586263
letters,16384,1024,0.006586263
epsilon,512,2048,0.003366353
epsilon,8192,2048,0.003366353
epsilon,512,4096,0.00125053
epsilon,8192,4096,0.00125053
abalone,256,256,0
abalone,256,512,0
airline,256,256,0
airline-ohe,256,256,0
airline-ohe,256,512,0
airline-ohe,256,1024,0
covtype,256,256,0
covtype,256,512,0
epsilon,256,256,0
higgs,256,256,0
year_prediction_msd,256,256,0
year_prediction_msd,256,512,0
letters,256,256,0
letters,256,512,0
letters,256,1024,0
letters,256,2048,0
abalone,512,256,0
abalone,512,512,0
airline,512,512,0
airline-ohe,512,256,0
airline-ohe,512,512,0
airline-ohe,512,1024,0
covtype,512,256,0
covtype,512,512,0
epsilon,512,512,0
epsilon,512,8192,0
higgs,512,512,0
year_prediction_msd,512,256,0
year_prediction_msd,512,512,0
letters,512,256,0
letters,512,512,0
letters,512,1024,0
letters,512,2048,0
abalone,1024,1024,0
airline,1024,1024,0
airline-ohe,1024,256,0
airline-ohe,1024,512,0
airline-ohe,1024,1024,0
covtype,1024,1024,0
epsilon,1024,1024,0
higgs,1024,1024,0
year_prediction_msd,1024,1024,0
letters,1024,256,0
letters,1024,512,0
letters,1024,1024,0
letters,1024,2048,0
abalone,2048,2048,0
abalone,2048,8192,0
airline,2048,2048,0
airline,2048,8192,0
airline-ohe,2048,2048,0
airline-ohe,2048,4096,0
airline-ohe,2048,16384,0
covtype,2048,2048,0
covtype,2048,4096,0
covtype,2048,8192,0
covtype,2048,16384,0
epsilon,2048,2048,0
epsilon,2048,4096,0
higgs,2048,2048,0
year_prediction_msd,2048,2048,0
year_prediction_msd,2048,8192,0
year_prediction_msd,2048,16384,0
letters,2048,256,0
letters,2048,512,0
letters,2048,1024,0
letters,2048,2048,0
abalone,4096,4096,0
abalone,4096,16384,0
airline,4096,4096,0
airline,4096,16384,0
airline-ohe,4096,2048,0
airline-ohe,4096,4096,0
airline-ohe,4096,16384,0
covtype,4096,2048,0
covtype,4096,4096,0
covtype,4096,8192,0
covtype,4096,16384,0
epsilon,4096,2048,0
epsilon,4096,4096,0
higgs,4096,4096,0
year_prediction_msd,4096,4096,0
letters,4096,4096,0
letters,4096,8192,0
letters,4096,16384,0
abalone,8192,2048,0
abalone,8192,8192,0
airline,8192,2048,0
airline,8192,8192,0
airline-ohe,8192,8192,0
covtype,8192,2048,0
covtype,8192,4096,0
covtype,8192,8192,0
covtype,8192,16384,0
epsilon,8192,512,0
epsilon,8192,8192,0
higgs,8192,8192,0
year_prediction_msd,8192,2048,0
year_prediction_msd,8192,8192,0
year_prediction_msd,8192,16384,0
letters,8192,4096,0
letters,8192,8192,0
letters,8192,16384,0
abalone,16384,4096,0
abalone,16384,16384,0
airline,16384,4096,0
airline,16384,16384,0
airline-ohe,16384,2048,0
airline-ohe,16384,4096,0
airline-ohe,16384,16384,0
covtype,16384,2048,0
covtype,16384,4096,0
covtype,16384,8192,0
covtype,16384,16384,0
epsilon,16384,16384,0
higgs,16384,16384,0
year_prediction_msd,16384,2048,0
year_prediction_msd,16384,8192,0
year_prediction_msd,16384,16384,0
letters,16384,4096,0
letters,16384,8192,0
letters,16384,16384,0
