config,model,representation,batch_size,unroll,total,kernel
oneTree-256-16,covtype_xgb_model_save.json,gpu_reorg,4096,false,11.6453,11.6117
oneTree-256-16,epsilon_xgb_model_save.json,gpu_reorg,4096,false,3.56624,2.73483
oneTree-256-16,higgs_xgb_model_save.json,gpu_reorg,4096,false,1.236,1.21502
oneTree-256-16,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,1.68628,1.64293
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-1,abalone_xgb_model_save.json,gpu_array,4096,false,0.593154,0.58353
oneTree-512-1,airline_xgb_model_save.json,gpu_array,4096,false,0.101047,0.0867847
oneTree-512-1,airline-ohe_xgb_model_save.json,gpu_array,4096,false,12.0746,11.7759
oneTree-512-1,covtype_xgb_model_save.json,gpu_array,4096,false,3.01021,2.97594
oneTree-512-1,epsilon_xgb_model_save.json,gpu_array,4096,false,2.36527,1.54155
oneTree-512-1,higgs_xgb_model_save.json,gpu_array,4096,false,0.158696,0.135955
oneTree-512-1,year_prediction_msd_xgb_model_save.json,gpu_array,4096,false,0.504663,0.461521
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-1,abalone_xgb_model_save.json,gpu_sparse,4096,false,0.605928,0.596487
oneTree-512-1,airline_xgb_model_save.json,gpu_sparse,4096,false,0.110264,0.0945752
oneTree-512-1,airline-ohe_xgb_model_save.json,gpu_sparse,4096,false,12.0968,11.7973
oneTree-512-1,covtype_xgb_model_save.json,gpu_sparse,4096,false,2.9448,2.91082
oneTree-512-1,epsilon_xgb_model_save.json,gpu_sparse,4096,false,2.37265,1.54302
oneTree-512-1,higgs_xgb_model_save.json,gpu_sparse,4096,false,0.168452,0.143547
oneTree-512-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,4096,false,0.501199,0.45801
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-1,abalone_xgb_model_save.json,gpu_reorg,4096,false,0.69781,0.687585
oneTree-512-1,airline_xgb_model_save.json,gpu_reorg,4096,false,0.145684,0.131348
oneTree-512-1,airline-ohe_xgb_model_save.json,gpu_reorg,4096,false,13.1135,12.813
oneTree-512-1,covtype_xgb_model_save.json,gpu_reorg,4096,false,3.71951,3.68133
oneTree-512-1,epsilon_xgb_model_save.json,gpu_reorg,4096,false,2.50218,1.67869
oneTree-512-1,higgs_xgb_model_save.json,gpu_reorg,4096,false,0.271074,0.248525
oneTree-512-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,4096,false,0.587231,0.544648
config,model,representation,batch_size,unroll,total,kernel
oneTree-512-2,abalone_xgb_model_save.json,gpu_array,4096,false,0.824343,0.814597
oneTree-512-2,airline_xgb_model_save.json,gpu_array,4096,false,0.129573,0.113997
oneTree-512-2,airline-ohe_xgb_model_save.json,gpu_array,4096,false,11.8889,11.5898
oneTree-512-2,covtype_xgb_model_save.json,gpu_array,4096,false,3.47221,3.43708
